"timestamp","user_id","session_id","event_name","string_props","numeric_props","os_name","os_version","locale","app_version","app_build_number","engine_name","engine_version","country_code","country_name","region_name"
"2026-03-31 23:26:29","5E2BEA9FB20AA29E","177499953210602477","clique_afiliado","{""idioma"":""en"",""produto_nome"":""STC-1000 Digital Temperature Controller"",""produto_url"":""https://s.shopee.com.br/900sxVQsz5""}","{}","Android","11","en-jm","2.1.19","41","","","US","United States",""
"2026-03-31 23:26:24","38E48ED7BBA894BE","177499953358195139","started_purchase_flow","{}","{}","Android","11","en-au","2.1.19","41","","","US","United States",""
"2026-03-31 23:26:22","38E48ED7BBA894BE","177499953358195139","clicou_gerar_relatorio","{}","{}","Android","11","en-au","2.1.19","41","","","US","United States",""
"2026-03-31 23:26:20","38E48ED7BBA894BE","177499953358195139","started_purchase_flow","{}","{}","Android","11","en-au","2.1.19","41","","","US","United States",""
"2026-03-31 23:26:20","5E2BEA9FB20AA29E","177499953210602477","clique_afiliado","{""idioma"":""en"",""produto_nome"":""Digital Hygrometer Thermometer with Probe"",""produto_url"":""https://s.shopee.com.br/3B30rzpovR""}","{}","Android","11","en-jm","2.1.19","41","","","US","United States",""
"2026-03-31 23:26:10","5E2BEA9FB20AA29E","177499953210602477","clique_afiliado","{""idioma"":""en"",""produto_nome"":""W3001 Digital Temperature Controller"",""produto_url"":""https://s.shopee.com.br/1LbMgoEHkl""}","{}","Android","11","en-jm","2.1.19","41","","","US","United States",""
"2026-03-31 23:22:57","AB35B0BBF9A1BCF7","177499919473057065","clicou_restaurar_backup","{}","{}","Android","11","en-us","2.1.19","41","","","US","United States",""
"2026-03-31 23:22:35","AB35B0BBF9A1BCF7","177499919473057065","clicou_gerar_relatorio","{}","{}","Android","11","en-us","2.1.19","41","","","US","United States",""
"2026-03-31 23:22:33","AB35B0BBF9A1BCF7","177499919473057065","started_purchase_flow","{}","{}","Android","11","en-us","2.1.19","41","","","US","United States",""
"2026-03-31 23:22:21","AB35B0BBF9A1BCF7","177499919473057065","clicou_criar_backup","{}","{}","Android","11","en-us","2.1.19","41","","","US","United States",""
"2026-03-31 23:21:10","AB35B0BBF9A1BCF7","177499919473057065","bateria_otimizacao_aceita","{}","{}","Android","11","en-us","2.1.19","41","","","US","United States",""
"2026-03-31 23:21:00","AB35B0BBF9A1BCF7","177499919473057065","iniciou_incubacao","{""anotacao"":""Sem Anota\u00E7\u00F5es"",""chocadeira_nome"":""MY FIRST INCUBATOR"",""especie_ave"":""Galinha"",""usuario_premium"":""Nao""}","{""chocadeira_capacidade"":70,""dias_incubacao_definidos"":21,""ovos_inseridos"":70}","Android","11","en-us","2.1.19","41","","","US","United States",""
"2026-03-31 23:07:11","7148E5134714252F","177499840816771765","permissao_notificacao_negada","{}","{}","Android","16","pt-br","2.1.19","41","","","BR","Brazil","Paraíba"
"2026-03-31 23:07:08","7148E5134714252F","177499840816771765","iniciou_incubacao","{""anotacao"":""Sem Anota\u00E7\u00F5es"",""chocadeira_nome"":""GALINHA"",""especie_ave"":""Galinha"",""usuario_premium"":""Sim""}","{""chocadeira_capacidade"":70,""dias_incubacao_definidos"":21,""ovos_inseridos"":70}","Android","16","pt-br","2.1.19","41","","","BR","Brazil","Paraíba"
