Data,"Aquisição de usuários (Todos os usuários, Todos os eventos, Por intervalo, Diária): Todos os países / todas as regiões","Aquisição de usuários (Todos os usuários, Todos os eventos, Por intervalo, Diária): Brasil",Observações
9 de dez. de 2025,1,1,
10 de dez. de 2025,4,4,
11 de dez. de 2025,1,1,
12 de dez. de 2025,3,3,Lançamento da versão: Início do lançamento de 4 (1.0.3) em 100%. Lançamento da versão: Início do lançamento de 5 (1.0.4) em 100%.
13 de dez. de 2025,17,17,
14 de dez. de 2025,3,3,
15 de dez. de 2025,3,3,
16 de dez. de 2025,2,2,
17 de dez. de 2025,5,5,Lançamento da versão: Início do lançamento de Novidades nesta versão: em 100%.
18 de dez. de 2025,3,3,Lançamento da versão: Início do lançamento de Chocadeira Eficiente: Controle Total em 100%. Lançamento da versão: Início do lançamento de 8 (1.0.7) em 100%. Lançamento da versão: Início do lançamento de 9 (2.0.0) em 100%. Lançamento da versão: Início do lançamento de 10 (2.0.1) em 100%. Lançamento da versão: Início do lançamento de 11 (2.0.2) em 100%.
19 de dez. de 2025,0,0,Lançamento da versão: Início do lançamento de 12 (2.0.3) em 100%.
20 de dez. de 2025,4,4,
21 de dez. de 2025,6,6,
22 de dez. de 2025,6,6,
23 de dez. de 2025,2,2,
24 de dez. de 2025,1,1,
25 de dez. de 2025,2,2,
26 de dez. de 2025,0,0,
27 de dez. de 2025,3,3,
28 de dez. de 2025,6,6,
29 de dez. de 2025,3,3,
30 de dez. de 2025,0,0,
31 de dez. de 2025,0,0,
1 de jan. de 2026,1,1,
2 de jan. de 2026,2,2,
3 de jan. de 2026,4,4,
4 de jan. de 2026,0,0,
5 de jan. de 2026,2,2,
6 de jan. de 2026,1,1,
7 de jan. de 2026,0,0,
8 de jan. de 2026,1,1,
9 de jan. de 2026,2,2,Lançamento da versão: Início do lançamento de 14 (2.0.5) em 100%.
10 de jan. de 2026,8,8,
11 de jan. de 2026,6,6,
12 de jan. de 2026,2,2,Lançamento da versão: Início do lançamento de 18 (2.0.8) em 100%. Lançamento da versão: Início do lançamento de 19 (2.0.9) em 100%. Lançamento da versão: Início do lançamento de 20 (2.1.0) em 100%.
13 de jan. de 2026,8,8,Lançamento da versão: Início do lançamento de 21 (2.1.1) em 100%.
14 de jan. de 2026,6,6,Lançamento da versão: Interrupção do lançamento de 21 (2.1.1). Lançamento da versão: Início do lançamento de 22 (2.1.2) em 100%. Lançamento da versão: Interrupção do lançamento de 22 (2.1.2).
15 de jan. de 2026,0,0,
16 de jan. de 2026,4,4,
17 de jan. de 2026,4,4,Lançamento da versão: Início do lançamento de 23 (2.1.3) em 100%.
18 de jan. de 2026,3,3,Lançamento da versão: Interrupção do lançamento de 23 (2.1.3).
19 de jan. de 2026,7,7,Lançamento da versão: Início do lançamento de 24 (2.1.4) em 100%. Lançamento da versão: Início do lançamento de 25 (2.1.5) em 100%.
20 de jan. de 2026,4,4,
21 de jan. de 2026,4,4,
22 de jan. de 2026,3,3,
23 de jan. de 2026,3,3,Lançamento da versão: Início do lançamento de 26 (2.1.6) em 100%.
24 de jan. de 2026,2,2,
25 de jan. de 2026,4,4,Lançamento da versão: Início do lançamento de 27 (2.1.7) em 20%. Lançamento da versão: Aumento do lançamento de 27 (2.1.7) para 50%.
26 de jan. de 2026,7,7,Lançamento da versão: Aumento do lançamento de 27 (2.1.7) para 100%. Lançamento da versão: Início do lançamento de 28 (2.1.8) em 20%. Lançamento da versão: Interrupção do lançamento de 28 (2.1.8). Lançamento da versão: Início do lançamento de 29 (2.1.9) em 100%.
27 de jan. de 2026,2,2,
28 de jan. de 2026,0,0,
29 de jan. de 2026,2,2,
30 de jan. de 2026,0,0,
31 de jan. de 2026,2,2,
1 de fev. de 2026,5,5,
2 de fev. de 2026,0,0,
3 de fev. de 2026,2,2,
4 de fev. de 2026,3,3,Lançamento da versão: Início do lançamento de 30 (2.1.10) em 100%.
5 de fev. de 2026,0,0,
6 de fev. de 2026,1,1,
7 de fev. de 2026,2,2,
8 de fev. de 2026,5,5,
9 de fev. de 2026,6,6,
10 de fev. de 2026,6,6,
11 de fev. de 2026,5,5,
12 de fev. de 2026,7,7,
13 de fev. de 2026,3,3,
14 de fev. de 2026,6,6,
15 de fev. de 2026,1,1,
16 de fev. de 2026,3,3,
17 de fev. de 2026,6,6,
18 de fev. de 2026,3,3,
19 de fev. de 2026,6,6,
20 de fev. de 2026,4,4,
21 de fev. de 2026,0,0,
22 de fev. de 2026,6,6,
23 de fev. de 2026,3,3,
24 de fev. de 2026,5,5,
25 de fev. de 2026,1,1,
26 de fev. de 2026,4,4,
27 de fev. de 2026,5,5,
28 de fev. de 2026,4,4,
1 de mar. de 2026,5,5,
2 de mar. de 2026,2,2,
3 de mar. de 2026,3,3,
4 de mar. de 2026,5,5,
5 de mar. de 2026,8,8,
6 de mar. de 2026,5,5,
7 de mar. de 2026,3,3,
8 de mar. de 2026,3,3,
9 de mar. de 2026,6,6,
10 de mar. de 2026,2,2,
11 de mar. de 2026,9,9,
12 de mar. de 2026,4,4,
13 de mar. de 2026,3,3,"Mudança nos dados de relatórios: Atualizamos nossas métricas de aquisição e instalação para: <ul> <li> incluir todos os tipos de conta, como contas supervisionadas e corporativas </li> <li> filtrar mais contas de spam </li> <li> contar com mais precisão dispositivos com vários usuários </li> <li> contar com mais precisão usuários com vários dispositivos </li> <li> detectar melhor desativações e reativações de dispositivos </li> </ul> Como resultado dessa atualização, talvez você note uma mudança nas suas métricas a partir dessa data."
14 de mar. de 2026,7,7,
15 de mar. de 2026,7,7,
16 de mar. de 2026,7,7,
17 de mar. de 2026,5,5,
18 de mar. de 2026,7,7,
19 de mar. de 2026,5,4,
20 de mar. de 2026,7,7,
21 de mar. de 2026,9,9,
22 de mar. de 2026,6,6,
23 de mar. de 2026,7,7,
24 de mar. de 2026,7,7,
25 de mar. de 2026,7,5,
26 de mar. de 2026,8,5,
27 de mar. de 2026,5,5,Lançamento da versão: Início do lançamento de 32 (2.1.12) em 20%. Lançamento da versão: Início do lançamento de 33 (2.1.13) em 100%. Lançamento da versão: Início do lançamento de 34 (2.1.14) em 100%. Lançamento da versão: Início do lançamento de 36 (2.1.15) em 100%.
28 de mar. de 2026,8,8,
29 de mar. de 2026,19,19,
30 de mar. de 2026,11,11,Lançamento da versão: Início do lançamento de 37 (2.1.16) em 20%.
31 de mar. de 2026,10,10,Lançamento da versão: Início do lançamento de 39 (2.1.17) em 100%. Lançamento da versão: Início do lançamento de 40 (2.1.18) em 100%. Lançamento da versão: Início do lançamento de 41 (2.1.19) em 100%. Lançamento da versão: Início do lançamento de 42 (2.1.20) em 100%. Lançamento da versão: Início do lançamento de 43 (2.1.21) em 100%. Lançamento da versão: Interrupção do lançamento de 43 (2.1.21). Lançamento da versão: Início do lançamento de 45 (2.1.22) em 100%.
1 de abr. de 2026,14,11,
2 de abr. de 2026,12,12,
3 de abr. de 2026,7,6,
4 de abr. de 2026,8,6,
5 de abr. de 2026,7,7,
6 de abr. de 2026,11,8,
7 de abr. de 2026,10,10,
8 de abr. de 2026,10,9,
9 de abr. de 2026,8,6,
10 de abr. de 2026,7,7,
11 de abr. de 2026,6,6,
12 de abr. de 2026,18,15,
13 de abr. de 2026,11,8,
14 de abr. de 2026,6,4,
15 de abr. de 2026,8,5,
16 de abr. de 2026,12,8,Lançamento da versão: Início do lançamento de 47 (2.1.24) em 20%. Lançamento da versão: Aumento do lançamento de 47 (2.1.24) para 100%. Lançamento da versão: Interrupção do lançamento de 47 (2.1.24).
17 de abr. de 2026,12,9,
18 de abr. de 2026,13,10,Lançamento da versão: Início do lançamento de 48 (2.1.25) em 50%.
19 de abr. de 2026,16,12,
20 de abr. de 2026,19,14,
21 de abr. de 2026,5,5,
22 de abr. de 2026,14,7,Lançamento da versão: Aumento do lançamento de 48 (2.1.25) para 100%.
23 de abr. de 2026,18,10,
24 de abr. de 2026,9,5,
25 de abr. de 2026,20,12,
26 de abr. de 2026,18,14,
27 de abr. de 2026,13,9,
28 de abr. de 2026,15,11,
29 de abr. de 2026,7,6,
30 de abr. de 2026,10,6,
1 de mai. de 2026,13,9,
2 de mai. de 2026,10,9,
3 de mai. de 2026,13,9,
4 de mai. de 2026,7,4,
5 de mai. de 2026,15,9,
6 de mai. de 2026,9,9,
7 de mai. de 2026,10,7,Lançamento da versão: Início do lançamento de 49 (2.1.26) em 20%.
8 de mai. de 2026,9,7,Lançamento da versão: Aumento do lançamento de 49 (2.1.26) para 100%. Lançamento da versão: Interrupção do lançamento de 49 (2.1.26).
9 de mai. de 2026,5,4,
10 de mai. de 2026,6,2,
11 de mai. de 2026,10,5,
12 de mai. de 2026,11,10,Lançamento da versão: Início do lançamento de 56 (2.1.33) em 100%.
13 de mai. de 2026,14,11,
14 de mai. de 2026,13,12,
15 de mai. de 2026,15,14,
16 de mai. de 2026,12,9,
17 de mai. de 2026,11,8,
18 de mai. de 2026,10,8,
19 de mai. de 2026,13,11,
20 de mai. de 2026,17,15,
21 de mai. de 2026,13,13,
22 de mai. de 2026,15,9,Lançamento da versão: Início do lançamento de 58 (2.1.35) em 100%.
23 de mai. de 2026,17,12,
24 de mai. de 2026,29,25,
25 de mai. de 2026,25,25,
26 de mai. de 2026,15,13,Lançamento da versão: Interrupção do lançamento de 58 (2.1.35).
27 de mai. de 2026,20,17,
28 de mai. de 2026,8,5,Lançamento da versão: Início do lançamento de 60 (2.1.37) em 100%.
29 de mai. de 2026,10,8,
30 de mai. de 2026,13,8,
31 de mai. de 2026,16,13,
1 de jun. de 2026,10,10,
2 de jun. de 2026,13,9,
3 de jun. de 2026,12,8,
4 de jun. de 2026,9,3,
5 de jun. de 2026,23,18,
6 de jun. de 2026,16,11,
7 de jun. de 2026,9,7,Lançamento da versão: Início do lançamento de 61 (2.1.38) em 100%.
8 de jun. de 2026,18,14,
9 de jun. de 2026,17,16,
10 de jun. de 2026,18,15,
11 de jun. de 2026,18,17,
12 de jun. de 2026,11,11,
13 de jun. de 2026,15,13,
14 de jun. de 2026,17,12,
15 de jun. de 2026,15,10,
16 de jun. de 2026,23,17,
17 de jun. de 2026,22,18,
18 de jun. de 2026,15,14,
19 de jun. de 2026,12,7,
20 de jun. de 2026,9,9,
21 de jun. de 2026,20,18,
22 de jun. de 2026,12,10,
23 de jun. de 2026,15,14,
24 de jun. de 2026,7,6,
25 de jun. de 2026,11,8,
26 de jun. de 2026,12,6,
27 de jun. de 2026,20,13,
28 de jun. de 2026,15,13,
29 de jun. de 2026,9,8,
30 de jun. de 2026,11,9,
1 de jul. de 2026,12,10,
2 de jul. de 2026,16,10,
3 de jul. de 2026,14,9,
4 de jul. de 2026,16,13,
5 de jul. de 2026,11,7,
6 de jul. de 2026,23,18,
7 de jul. de 2026,24,20,
