Data,"Base de instalações (Todos os dispositivos, Dispositivos únicos, Por intervalo, Diária): Todos os países / todas as regiões","Base de instalações (Todos os dispositivos, Dispositivos únicos, Por intervalo, Diária): Brasil",Observações
1 de jan. de 2026,52,52,
2 de jan. de 2026,50,50,
3 de jan. de 2026,54,54,
4 de jan. de 2026,55,55,
5 de jan. de 2026,55,55,
6 de jan. de 2026,62,62,
7 de jan. de 2026,55,55,
8 de jan. de 2026,55,55,
9 de jan. de 2026,58,58,Lançamento da versão: Início do lançamento de 14 (2.0.5) em 100%.
10 de jan. de 2026,60,60,
11 de jan. de 2026,67,67,
12 de jan. de 2026,72,72,Lançamento da versão: Início do lançamento de 18 (2.0.8) em 100%. Lançamento da versão: Início do lançamento de 19 (2.0.9) em 100%. Lançamento da versão: Início do lançamento de 20 (2.1.0) em 100%.
13 de jan. de 2026,79,79,Lançamento da versão: Início do lançamento de 21 (2.1.1) em 100%.
14 de jan. de 2026,74,74,Lançamento da versão: Interrupção do lançamento de 21 (2.1.1). Lançamento da versão: Início do lançamento de 22 (2.1.2) em 100%. Lançamento da versão: Interrupção do lançamento de 22 (2.1.2).
15 de jan. de 2026,76,76,
16 de jan. de 2026,74,74,
17 de jan. de 2026,73,73,Lançamento da versão: Início do lançamento de 23 (2.1.3) em 100%.
18 de jan. de 2026,74,74,Lançamento da versão: Interrupção do lançamento de 23 (2.1.3).
19 de jan. de 2026,78,78,Lançamento da versão: Início do lançamento de 24 (2.1.4) em 100%. Lançamento da versão: Início do lançamento de 25 (2.1.5) em 100%.
20 de jan. de 2026,76,76,
21 de jan. de 2026,82,82,
22 de jan. de 2026,80,80,
23 de jan. de 2026,80,80,Lançamento da versão: Início do lançamento de 26 (2.1.6) em 100%.
24 de jan. de 2026,86,86,
25 de jan. de 2026,83,83,Lançamento da versão: Início do lançamento de 27 (2.1.7) em 20%. Lançamento da versão: Aumento do lançamento de 27 (2.1.7) para 50%.
26 de jan. de 2026,85,85,Lançamento da versão: Aumento do lançamento de 27 (2.1.7) para 100%. Lançamento da versão: Início do lançamento de 28 (2.1.8) em 20%. Lançamento da versão: Interrupção do lançamento de 28 (2.1.8). Lançamento da versão: Início do lançamento de 29 (2.1.9) em 100%.
27 de jan. de 2026,83,83,
28 de jan. de 2026,89,89,
